county,state,County_FIPS_Code
Screven,Georgia,13251
Seminole,Georgia,13253
Spalding,Georgia,13255
Stephens,Georgia,13257
Stewart,Georgia,13259
Sumter,Georgia,13261
Taliaferro,Georgia,13265
Tattnall,Georgia,13267
Taylor,Georgia,13269
Telfair,Georgia,13271
Terrell,Georgia,13273
Thomas,Georgia,13275
Tift,Georgia,13277
Toombs,Georgia,13279
Towns,Georgia,13281
Treutlen,Georgia,13283
Troup,Georgia,13285
Turner,Georgia,13287
Twiggs,Georgia,13289
Union,Georgia,13291
Upson,Georgia,13293
Walker,Georgia,13295
Walton,Georgia,13297
Ware,Georgia,13299
Warren,Georgia,13301
Washington,Georgia,13303
Wayne,Georgia,13305
Webster,Georgia,13307
Wheeler,Georgia,13309
White,Georgia,13311
Whitfield,Georgia,13313
Wilcox,Georgia,13315
Wilkes,Georgia,13317
Wilkinson,Georgia,13319
Worth,Georgia,13321
Hawaii,Hawaii,15001
Honolulu,Hawaii,15003
Kauai,Hawaii,15007
Maui,Hawaii,15009
Ada,Idaho,16001
Adams,Idaho,16003
Bannock,Idaho,16005
Bear Lake,Idaho,16007
Benewah,Idaho,16009
Bingham,Idaho,16011
Blaine,Idaho,16013
Boise,Idaho,16015
Bonner,Idaho,16017
Bonneville,Idaho,16019
Boundary,Idaho,16021
Butte,Idaho,16023
Canyon,Idaho,16027
Caribou,Idaho,16029
Cassia,Idaho,16031
Clearwater,Idaho,16035
Custer,Idaho,16037
Elmore,Idaho,16039
Franklin,Idaho,16041
Fremont,Idaho,16043
Gem,Idaho,16045
Gooding,Idaho,16047
Idaho,Idaho,16049
Jefferson,Idaho,16051
Jerome,Idaho,16053
Kootenai,Idaho,16055
Latah,Idaho,16057
Lemhi,Idaho,16059
Lewis,Idaho,16061
Lincoln,Idaho,16063
Madison,Idaho,16065
Minidoka,Idaho,16067
Nez Perce,Idaho,16069
Oneida,Idaho,16071
Owyhee,Idaho,16073
Payette,Idaho,16075
Power,Idaho,16077
Shoshone,Idaho,16079
Teton,Idaho,16081
Twin Falls,Idaho,16083
Valley,Idaho,16085
Washington,Idaho,16087
Adams,Illinois,17001
Alexander,Illinois,17003
Bond,Illinois,17005
Boone,Illinois,17007
Brown,Illinois,17009
Bureau,Illinois,17011
Calhoun,Illinois,17013
Carroll,Illinois,17015
Cass,Illinois,17017
Champaign,Illinois,17019
Christian,Illinois,17021
Clark,Illinois,17023
Clay,Illinois,17025
Clinton,Illinois,17027
Coles,Illinois,17029
Cook,Illinois,17031
Crawford,Illinois,17033
Cumberland,Illinois,17035
Dekalb,Illinois,17037
De Witt,Illinois,17039
Douglas,Illinois,17041
Dupage,Illinois,17043
Edgar,Illinois,17045
Edwards,Illinois,17047
Effingham,Illinois,17049
Fayette,Illinois,17051
Ford,Illinois,17053
Franklin,Illinois,17055
Fulton,Illinois,17057
Gallatin,Illinois,17059
Greene,Illinois,17061
Grundy,Illinois,17063
Hamilton,Illinois,17065
Hancock,Illinois,17067
Hardin,Illinois,17069
Henderson,Illinois,17071
Henry,Illinois,17073
Iroquois,Illinois,17075
Jackson,Illinois,17077
Jasper,Illinois,17079
Jefferson,Illinois,17081
Jersey,Illinois,17083
Jo Daviess,Illinois,17085
Johnson,Illinois,17087
Kane,Illinois,17089
Kankakee,Illinois,17091
Kendall,Illinois,17093
Knox,Illinois,17095
Lake,Illinois,17097
LaSalle,Illinois,17099
Lawrence,Illinois,17101
Lee,Illinois,17103
Livingston,Illinois,17105
Logan,Illinois,17107
McDonough,Illinois,17109
Mchenry,Illinois,17111
Mclean,Illinois,17113
Macon,Illinois,17115
Macoupin,Illinois,17117
Madison,Illinois,17119
Marion,Illinois,17121
Marshall,Illinois,17123
Mason,Illinois,17125
Massac,Illinois,17127
Menard,Illinois,17129
Mercer,Illinois,17131
Monroe,Illinois,17133
Montgomery,Illinois,17135
Morgan,Illinois,17137
Moultrie,Illinois,17139
Ogle,Illinois,17141
Peoria,Illinois,17143
Perry,Illinois,17145
Piatt,Illinois,17147
Pike,Illinois,17149
Pulaski,Illinois,17153
Randolph,Illinois,17157
Richland,Illinois,17159
Rock Island,Illinois,17161
St. Clair,Illinois,17163
Saline,Illinois,17165
Sangamon,Illinois,17167
Schuyler,Illinois,17169
Scott,Illinois,17171
Shelby,Illinois,17173
Stark,Illinois,17175
Stephenson,Illinois,17177
Tazewell,Illinois,17179
Union,Illinois,17181
Vermilion,Illinois,17183
Wabash,Illinois,17185
Warren,Illinois,17187
Washington,Illinois,17189
Wayne,Illinois,17191
White,Illinois,17193
Whiteside,Illinois,17195
Will,Illinois,17197
Williamson,Illinois,17199
Winnebago,Illinois,17201
Woodford,Illinois,17203
Adams,Indiana,18001
Allen,Indiana,18003
Bartholomew,Indiana,18005
Benton,Indiana,18007
Blackford,Indiana,18009
Boone,Indiana,18011
Brown,Indiana,18013
Carroll,Indiana,18015
Cass,Indiana,18017
Clark,Indiana,18019
Clay,Indiana,18021
Clinton,Indiana,18023
Crawford,Indiana,18025
Daviess,Indiana,18027
Dearborn,Indiana,18029
Decatur,Indiana,18031
DeKalb,Indiana,18033
Delaware,Indiana,18035
Dubois,Indiana,18037
Elkhart,Indiana,18039
Fayette,Indiana,18041
Floyd,Indiana,18043
Fountain,Indiana,18045
Franklin,Indiana,18047
Fulton,Indiana,18049
Gibson,Indiana,18051
Grant,Indiana,18053
Greene,Indiana,18055
Hamilton,Indiana,18057
Hancock,Indiana,18059
Harrison,Indiana,18061
Hendricks,Indiana,18063
Henry,Indiana,18065
Howard,Indiana,18067
Huntington,Indiana,18069
Jackson,Indiana,18071
Jasper,Indiana,18073
Jay,Indiana,18075
Jefferson,Indiana,18077
Jennings,Indiana,18079
Johnson,Indiana,18081
Knox,Indiana,18083
Kosciusko,Indiana,18085
Lagrange,Indiana,18087
Lake,Indiana,18089
Laporte,Indiana,18091
Lawrence,Indiana,18093
Madison,Indiana,18095
Marion,Indiana,18097
Marshall,Indiana,18099
Martin,Indiana,18101
Miami,Indiana,18103
Monroe,Indiana,18105
Montgomery,Indiana,18107
Morgan,Indiana,18109
Newton,Indiana,18111
Noble,Indiana,18113
Ohio,Indiana,18115
Orange,Indiana,18117
Owen,Indiana,18119
Parke,Indiana,18121
Perry,Indiana,18123
Pike,Indiana,18125
Porter,Indiana,18127
Posey,Indiana,18129
Pulaski,Indiana,18131
Putnam,Indiana,18133
Randolph,Indiana,18135
Ripley,Indiana,18137
Rush,Indiana,18139
St. Joseph,Indiana,18141
Scott,Indiana,18143
Shelby,Indiana,18145
Spencer,Indiana,18147
Starke,Indiana,18149
Steuben,Indiana,18151
Sullivan,Indiana,18153
Switzerland,Indiana,18155
Tippecanoe,Indiana,18157
Tipton,Indiana,18159
Vanderburgh,Indiana,18163
Vermillion,Indiana,18165
Vigo,Indiana,18167
Wabash,Indiana,18169
Warren,Indiana,18171
Warrick,Indiana,18173
Washington,Indiana,18175
Wayne,Indiana,18177
Wells,Indiana,18179
White,Indiana,18181
Whitley,Indiana,18183
Adair,Iowa,19001
Adams,Iowa,19003
Allamakee,Iowa,19005
Appanoose,Iowa,19007
Audubon,Iowa,19009
Benton,Iowa,19011
Black Hawk,Iowa,19013
Boone,Iowa,19015
Bremer,Iowa,19017
Buchanan,Iowa,19019
Buena Vista,Iowa,19021
Butler,Iowa,19023
Calhoun,Iowa,19025
Carroll,Iowa,19027
Cass,Iowa,19029
Cedar,Iowa,19031
Cerro Gordo,Iowa,19033
Cherokee,Iowa,19035
Chickasaw,Iowa,19037
Clarke,Iowa,19039
Clay,Iowa,19041
Clayton,Iowa,19043
Clinton,Iowa,19045
Crawford,Iowa,19047
Dallas,Iowa,19049
Davis,Iowa,19051
Decatur,Iowa,19053
Delaware,Iowa,19055
Des Moines,Iowa,19057
Dickinson,Iowa,19059
Dubuque,Iowa,19061
Emmet,Iowa,19063
Fayette,Iowa,19065
Floyd,Iowa,19067
Franklin,Iowa,19069
Fremont,Iowa,19071
Greene,Iowa,19073
Grundy,Iowa,19075
Guthrie,Iowa,19077
Hamilton,Iowa,19079
Hancock,Iowa,19081
Hardin,Iowa,19083
Harrison,Iowa,19085
Henry,Iowa,19087
Howard,Iowa,19089
Humboldt,Iowa,19091
Ida,Iowa,19093
Iowa,Iowa,19095
Jackson,Iowa,19097
Jasper,Iowa,19099
Jefferson,Iowa,19101
Johnson,Iowa,19103
Jones,Iowa,19105
Keokuk,Iowa,19107
Kossuth,Iowa,19109
Lee,Iowa,19111
Linn,Iowa,19113
Louisa,Iowa,19115
Lucas,Iowa,19117
Lyon,Iowa,19119
Madison,Iowa,19121
Mahaska,Iowa,19123
Marion,Iowa,19125
Marshall,Iowa,19127
Mills,Iowa,19129
Mitchell,Iowa,19131
Monona,Iowa,19133
Monroe,Iowa,19135
Montgomery,Iowa,19137
Muscatine,Iowa,19139
O'Brien,Iowa,19141
Osceola,Iowa,19143
Page,Iowa,19145
Palo Alto,Iowa,19147
Plymouth,Iowa,19149
Pocahontas,Iowa,19151
Polk,Iowa,19153
Pottawattamie,Iowa,19155
Poweshiek,Iowa,19157
Ringgold,Iowa,19159
Sac,Iowa,19161
Scott,Iowa,19163
Shelby,Iowa,19165
Sioux,Iowa,19167
Story,Iowa,19169
Tama,Iowa,19171
Taylor,Iowa,19173
Union,Iowa,19175
Van Buren,Iowa,19177
Wapello,Iowa,19179
Warren,Iowa,19181
Washington,Iowa,19183
Wayne,Iowa,19185
Webster,Iowa,19187
Winnebago,Iowa,19189
Winneshiek,Iowa,19191
Woodbury,Iowa,19193
Worth,Iowa,19195
Wright,Iowa,19197
Allen,Kansas,20001
Anderson,Kansas,20003
Atchison,Kansas,20005
Barber,Kansas,20007
Barton,Kansas,20009
Bourbon,Kansas,20011
Brown,Kansas,20013
Butler,Kansas,20015
Chase,Kansas,20017
Chautauqua,Kansas,20019
Cherokee,Kansas,20021
Cheyenne,Kansas,20023
Clay,Kansas,20027
Cloud,Kansas,20029
Coffey,Kansas,20031
Cowley,Kansas,20035
Crawford,Kansas,20037
Decatur,Kansas,20039
Dickinson,Kansas,20041
Doniphan,Kansas,20043
Douglas,Kansas,20045
Ellis,Kansas,20051
Ellsworth,Kansas,20053
Finney,Kansas,20055
Ford,Kansas,20057
Franklin,Kansas,20059
Geary,Kansas,20061
Grant,Kansas,20067
Gray,Kansas,20069
Greenwood,Kansas,20073
Hamilton,Kansas,20075
Harper,Kansas,20077
Harvey,Kansas,20079
Haskell,Kansas,20081
Hodgeman,Kansas,20083
Jackson,Kansas,20085
Jefferson,Kansas,20087
Jewell,Kansas,20089
Johnson,Kansas,20091
Kingman,Kansas,20095
Kiowa,Kansas,20097
Labette,Kansas,20099
Leavenworth,Kansas,20103
Lincoln,Kansas,20105
Linn,Kansas,20107
Logan,Kansas,20109
Lyon,Kansas,20111
McPherson,Kansas,20113
Marion,Kansas,20115
Marshall,Kansas,20117
Meade,Kansas,20119
Miami,Kansas,20121
Mitchell,Kansas,20123
Montgomery,Kansas,20125
Morris,Kansas,20127
Morton,Kansas,20129
Nemaha,Kansas,20131
Neosho,Kansas,20133
Ness,Kansas,20135
Norton,Kansas,20137
Osage,Kansas,20139
Osborne,Kansas,20141
Ottawa,Kansas,20143
Pawnee,Kansas,20145
Phillips,Kansas,20147
Pottawatomie,Kansas,20149
Pratt,Kansas,20151
Reno,Kansas,20155
Republic,Kansas,20157
Rice,Kansas,20159
Riley,Kansas,20161
Rooks,Kansas,20163
Rush,Kansas,20165
Russell,Kansas,20167
Saline,Kansas,20169
Scott,Kansas,20171
Sedgwick,Kansas,20173
Seward,Kansas,20175
Shawnee,Kansas,20177
Sherman,Kansas,20181
Smith,Kansas,20183
Stafford,Kansas,20185
Stanton,Kansas,20187
Stevens,Kansas,20189
Sumner,Kansas,20191
Thomas,Kansas,20193
Trego,Kansas,20195
Wabaunsee,Kansas,20197
Wallace,Kansas,20199
Washington,Kansas,20201
Wichita,Kansas,20203
Wilson,Kansas,20205
Woodson,Kansas,20207
Wyandotte,Kansas,20209
Adair,Kentucky,21001
Allen,Kentucky,21003
Anderson,Kentucky,21005
Ballard,Kentucky,21007
Barren,Kentucky,21009
Bath,Kentucky,21011
Bell,Kentucky,21013
Boone,Kentucky,21015
Bourbon,Kentucky,21017
Boyd,Kentucky,21019
Boyle,Kentucky,21021
Bracken,Kentucky,21023
Breathitt,Kentucky,21025
Breckinridge,Kentucky,21027
Bullitt,Kentucky,21029
Butler,Kentucky,21031
Caldwell,Kentucky,21033
Calloway,Kentucky,21035
Campbell,Kentucky,21037
Carlisle,Kentucky,21039
Carroll,Kentucky,21041
Carter,Kentucky,21043
Casey,Kentucky,21045
Christian,Kentucky,21047
Clark,Kentucky,21049
Clay,Kentucky,21051
Clinton,Kentucky,21053
Crittenden,Kentucky,21055
Cumberland,Kentucky,21057
Daviess,Kentucky,21059
Edmonson,Kentucky,21061
Elliott,Kentucky,21063
Estill,Kentucky,21065
Fayette,Kentucky,21067
Fleming,Kentucky,21069
Floyd,Kentucky,21071
Franklin,Kentucky,21073
Fulton,Kentucky,21075
Gallatin,Kentucky,21077
Garrard,Kentucky,21079
Grant,Kentucky,21081
Graves,Kentucky,21083
Grayson,Kentucky,21085
Green,Kentucky,21087
Greenup,Kentucky,21089
Hancock,Kentucky,21091
Hardin,Kentucky,21093
Harlan,Kentucky,21095
Harrison,Kentucky,21097
Hart,Kentucky,21099
Henderson,Kentucky,21101
Henry,Kentucky,21103
Hickman,Kentucky,21105
Hopkins,Kentucky,21107
Jackson,Kentucky,21109
Jefferson,Kentucky,21111
Jessamine,Kentucky,21113
Johnson,Kentucky,21115
Kenton,Kentucky,21117
Knott,Kentucky,21119
Knox,Kentucky,21121
Larue,Kentucky,21123
Laurel,Kentucky,21125
Lawrence,Kentucky,21127
Lee,Kentucky,21129
Leslie,Kentucky,21131
Letcher,Kentucky,21133
Lewis,Kentucky,21135
Lincoln,Kentucky,21137
Livingston,Kentucky,21139
Logan,Kentucky,21141
Lyon,Kentucky,21143
McCracken,Kentucky,21145
McCreary,Kentucky,21147
McLean,Kentucky,21149
Madison,Kentucky,21151
Magoffin,Kentucky,21153
Marion,Kentucky,21155
Marshall,Kentucky,21157
Martin,Kentucky,21159
Mason,Kentucky,21161
Meade,Kentucky,21163
Menifee,Kentucky,21165
Mercer,Kentucky,21167
Metcalfe,Kentucky,21169
Monroe,Kentucky,21171
Montgomery,Kentucky,21173
Morgan,Kentucky,21175
Muhlenberg,Kentucky,21177
Nelson,Kentucky,21179
Nicholas,Kentucky,21181
Ohio,Kentucky,21183
Oldham,Kentucky,21185
Owen,Kentucky,21187
Pendleton,Kentucky,21191
Perry,Kentucky,21193
Pike,Kentucky,21195
Powell,Kentucky,21197
Pulaski,Kentucky,21199
Rockcastle,Kentucky,21203
Rowan,Kentucky,21205
Russell,Kentucky,21207
Scott,Kentucky,21209
Shelby,Kentucky,21211
Simpson,Kentucky,21213
Spencer,Kentucky,21215
Taylor,Kentucky,21217
Todd,Kentucky,21219
Trigg,Kentucky,21221
Trimble,Kentucky,21223
Union,Kentucky,21225
Warren,Kentucky,21227
